timestamp,ticker,bid_price,bid_size,ask_price,ask_size,exchange
2009-02-13 09:31:04.024,C,3.51,115.0,3.52,96.0,T
2009-02-13 09:31:04.025,C,3.51,204.0,3.52,78.0,Z
2009-02-13 09:31:04.027,C,3.51,96.0,3.52,80.0,P
2009-02-13 09:31:04.027,C,3.51,116.0,3.52,96.0,T
2009-02-13 09:31:04.027,C,3.51,115.0,3.52,96.0,T
2009-02-13 09:31:04.032,C,3.51,205.0,3.52,78.0,Z
2009-02-13 09:31:04.034,C,3.51,116.0,3.52,96.0,T
2009-02-13 09:31:04.038,C,3.51,97.0,3.52,80.0,P
2009-02-13 09:31:04.074,C,3.51,115.0,3.52,96.0,T
2009-02-13 09:31:04.087,C,3.51,434.0,3.52,61.0,N
2009-02-13 09:31:04.189,C,3.51,115.0,3.52,94.0,T
2009-02-13 09:31:04.192,C,3.51,118.0,3.52,26.0,I
2009-02-13 09:31:04.197,C,3.51,99.0,3.52,80.0,P
2009-02-13 09:31:04.273,C,3.51,115.0,3.52,89.0,T
2009-02-13 09:31:04.274,C,3.51,115.0,3.52,85.0,T
2009-02-13 09:31:04.275,C,3.51,119.0,3.52,85.0,T
2009-02-13 09:31:04.281,C,3.51,121.0,3.52,85.0,T
2009-02-13 09:31:04.287,C,3.51,105.0,3.52,80.0,P
2009-02-13 09:31:04.316,C,3.51,205.0,3.52,76.0,Z
2009-02-13 09:31:04.329,C,3.51,119.0,3.52,85.0,T
2009-02-13 09:31:04.350,C,3.51,434.0,3.52,31.0,N
2009-02-13 09:31:04.404,C,3.51,434.0,3.52,38.0,N
2009-02-13 09:31:04.457,C,3.51,112.0,3.52,80.0,P
2009-02-13 09:31:04.504,C,3.51,118.0,3.52,16.0,I
2009-02-13 09:31:04.740,C,3.51,119.0,3.52,82.0,T
2009-02-13 09:31:04.741,C,3.51,119.0,3.52,81.0,T
2009-02-13 09:31:04.741,C,3.51,205.0,3.52,75.0,Z
2009-02-13 09:31:04.743,C,3.51,119.0,3.52,78.0,T
2009-02-13 09:31:04.757,C,3.51,112.0,3.52,79.0,P
2009-02-13 09:31:04.784,C,3.51,205.0,3.52,74.0,Z
2009-02-13 09:31:04.784,C,3.51,205.0,3.52,71.0,Z
2009-02-13 09:31:04.784,C,3.51,205.0,3.52,52.0,Z
2009-02-13 09:31:04.784,C,3.51,205.0,3.52,67.0,Z
2009-02-13 09:31:04.785,C,3.51,205.0,3.52,42.0,Z
2009-02-13 09:31:04.785,C,3.51,205.0,3.52,35.0,Z
2009-02-13 09:31:04.785,C,3.51,205.0,3.52,21.0,Z
2009-02-13 09:31:04.785,C,3.51,205.0,3.52,33.0,Z
2009-02-13 09:31:04.785,C,3.51,222.0,3.52,13.0,Z
2009-02-13 09:31:04.785,C,3.51,220.0,3.52,13.0,Z
2009-02-13 09:31:04.785,C,3.51,215.0,3.52,13.0,Z
2009-02-13 09:31:04.785,C,3.51,205.0,3.52,13.0,Z
2009-02-13 09:31:04.786,C,3.51,129.0,3.52,78.0,T
2009-02-13 09:31:04.786,C,3.51,136.0,3.52,77.0,T
2009-02-13 09:31:04.786,C,3.51,134.0,3.52,77.0,T
2009-02-13 09:31:04.786,C,3.51,129.0,3.52,77.0,T
2009-02-13 09:31:04.787,C,3.51,136.0,3.52,72.0,T
2009-02-13 09:31:04.788,C,3.51,118.0,3.52,11.0,I
2009-02-13 09:31:04.791,C,3.51,118.0,3.52,5.0,I
2009-02-13 09:31:04.795,C,3.51,136.0,3.52,70.0,T
2009-02-13 09:31:04.797,C,3.51,127.0,3.52,76.0,P
2009-02-13 09:31:04.797,C,3.51,127.0,3.52,78.0,P
2009-02-13 09:31:04.846,C,3.51,134.0,3.52,70.0,T
2009-02-13 09:31:04.865,C,3.51,434.0,3.53,159.0,N
2009-02-13 09:31:04.915,C,3.51,434.0,3.53,173.0,N
2009-02-13 09:31:04.934,C,3.51,139.0,3.52,70.0,T
2009-02-13 09:31:04.935,C,3.51,141.0,3.52,70.0,T
2009-02-13 09:31:04.950,C,3.51,135.0,3.52,70.0,T
2009-02-13 09:31:04.960,C,3.51,135.0,3.52,64.0,T
2009-02-13 09:31:04.960,C,3.51,135.0,3.52,68.0,T
2009-02-13 09:31:04.964,C,3.51,137.0,3.52,64.0,T
2009-02-13 09:31:04.971,C,3.51,441.0,3.52,7.0,N
2009-02-13 09:31:04.971,C,3.51,434.0,3.52,7.0,N
2009-02-13 09:31:04.977,C,3.51,127.0,3.52,72.0,P
2009-02-13 09:31:04.984,C,3.51,135.0,3.52,64.0,T
2009-02-13 09:31:05.068,C,3.51,222.0,3.52,11.0,Z
2009-02-13 09:31:05.069,C,3.51,135.0,3.52,62.0,T
2009-02-13 09:31:05.070,C,3.51,222.0,3.52,13.0,Z
2009-02-13 09:31:05.074,C,3.51,135.0,3.52,64.0,T
2009-02-13 09:31:05.077,C,3.51,127.0,3.52,72.0,P
2009-02-13 09:31:05.177,C,3.51,137.0,3.52,64.0,T
2009-02-13 09:31:05.178,C,3.51,139.0,3.52,64.0,T
2009-02-13 09:31:05.212,C,3.51,222.0,3.52,11.0,Z
2009-02-13 09:31:05.218,C,3.51,127.0,3.52,70.0,P
2009-02-13 09:31:05.226,C,3.51,222.0,3.52,9.0,Z
2009-02-13 09:31:05.231,C,3.51,222.0,3.52,11.0,Z
2009-02-13 09:31:05.232,C,3.51,137.0,3.52,62.0,T
2009-02-13 09:31:05.233,C,3.51,222.0,3.52,9.0,Z
2009-02-13 09:31:05.237,C,3.51,127.0,3.52,68.0,P
2009-02-13 09:31:05.238,C,3.51,127.0,3.52,68.0,P
2009-02-13 09:31:05.251,C,3.51,222.0,3.52,8.0,Z
2009-02-13 09:31:05.272,C,3.51,224.0,3.52,8.0,Z
2009-02-13 09:31:05.279,C,3.51,142.0,3.52,62.0,T
2009-02-13 09:31:05.287,C,3.51,224.0,3.52,7.0,Z
2009-02-13 09:31:05.375,C,3.51,140.0,3.52,62.0,T
2009-02-13 09:31:05.397,C,3.51,443.0,3.52,7.0,N
2009-02-13 09:31:05.424,C,3.51,123.0,3.52,5.0,I
2009-02-13 09:31:05.428,C,3.51,125.0,3.52,5.0,I
2009-02-13 09:31:05.516,C,3.51,123.0,3.52,5.0,I
2009-02-13 09:31:05.617,C,3.51,153.0,3.52,5.0,I
2009-02-13 09:31:05.619,C,3.51,155.0,3.52,5.0,I
2009-02-13 09:31:05.635,C,3.51,140.0,3.52,64.0,T
2009-02-13 09:31:05.637,C,3.51,120.0,3.52,70.0,P
2009-02-13 09:31:05.668,C,3.51,153.0,3.52,5.0,I
2009-02-13 09:31:05.682,C,3.51,441.0,3.52,7.0,N
2009-02-13 09:31:05.855,C,3.51,224.0,3.52,11.0,Z
2009-02-13 09:31:05.856,C,3.51,224.0,3.52,47.0,Z
2009-02-13 09:31:05.856,C,3.51,224.0,3.52,31.0,Z
2009-02-13 09:31:05.856,C,3.51,224.0,3.52,54.0,Z
2009-02-13 09:31:05.856,C,3.51,224.0,3.52,15.0,Z
2009-02-13 09:31:05.872,C,3.51,145.0,3.52,64.0,T
2009-02-13 09:31:05.872,C,3.51,143.0,3.52,64.0,T
2009-02-13 09:31:05.873,C,3.51,154.0,3.52,5.0,I
2009-02-13 09:31:05.887,C,3.51,122.0,3.52,70.0,P
2009-02-13 09:31:05.907,C,3.51,129.0,3.52,70.0,P
2009-02-13 09:31:05.942,C,3.51,143.0,3.52,64.0,T
2009-02-13 09:31:05.945,C,3.51,441.0,3.52,15.0,N
2009-02-13 09:31:05.981,C,3.51,143.0,3.52,66.0,T
2009-02-13 09:31:06.017,C,7.17,1.0,7.91,25.0,P
2009-02-13 09:31:06.042,C,7.01,12.0,7.87,12.0,Z
2009-02-13 09:31:06.046,C,7.0,10.0,7.9,9.0,I
2009-02-13 09:31:06.048,C,7.17,1.0,7.88,1.0,P
2009-02-13 09:31:06.048,C,7.15,24.0,8.0,1.0,P
2009-02-13 09:31:06.051,C,3.51,141.0,3.52,66.0,T
2009-02-13 09:31:06.051,C,7.0,10.0,7.88,10.0,I
2009-02-13 09:31:06.053,C,3.51,149.0,3.52,5.0,I
2009-02-13 09:31:06.054,C,3.51,141.0,3.52,64.0,T
2009-02-13 09:31:06.152,C,3.51,145.0,3.52,64.0,T
2009-02-13 09:31:06.226,C,3.51,143.0,3.52,64.0,T
2009-02-13 09:31:06.646,C,3.51,157.0,3.52,5.0,I
2009-02-13 09:31:06.719,C,3.51,155.0,3.52,5.0,I
2009-02-13 09:31:06.970,C,3.51,199.0,3.52,5.0,I
2009-02-13 09:31:06.972,C,3.51,201.0,3.52,5.0,I
2009-02-13 09:31:07.021,C,3.51,199.0,3.52,5.0,I
2009-02-13 09:31:07.307,C,11.6,11.0,12.37,5.0,P
2009-02-13 09:31:07.344,C,3.51,140.0,3.52,64.0,T
2009-02-13 09:31:07.355,C,3.51,134.0,3.52,64.0,T
2009-02-13 09:31:07.355,C,3.51,124.0,3.52,64.0,T
2009-02-13 09:31:07.355,C,3.51,136.0,3.52,64.0,T
2009-02-13 09:31:07.355,C,3.51,105.0,3.52,64.0,T
2009-02-13 09:31:07.355,C,3.51,113.0,3.52,64.0,T
2009-02-13 09:31:07.355,C,3.51,122.0,3.52,64.0,T
2009-02-13 09:31:07.355,C,3.51,223.0,3.52,57.0,Z
2009-02-13 09:31:07.355,C,3.51,99.0,3.52,64.0,T
2009-02-13 09:31:07.355,C,3.51,104.0,3.52,64.0,T
2009-02-13 09:31:07.355,C,3.51,224.0,3.52,55.0,Z
2009-02-13 09:31:07.355,C,3.51,129.0,3.52,64.0,T
2009-02-13 09:31:07.355,C,3.51,223.0,3.52,55.0,Z
2009-02-13 09:31:07.355,C,3.51,103.0,3.52,64.0,T
2009-02-13 09:31:07.356,C,3.51,198.0,3.52,5.0,I
2009-02-13 09:31:07.356,C,3.51,213.0,3.52,61.0,Z
2009-02-13 09:31:07.356,C,3.51,223.0,3.52,61.0,Z
2009-02-13 09:31:07.356,C,3.51,184.0,3.52,5.0,I
2009-02-13 09:31:07.357,C,3.51,213.0,3.52,69.0,Z
2009-02-13 09:31:07.359,C,3.51,86.0,3.52,64.0,T
2009-02-13 09:31:07.359,C,3.51,89.0,3.52,64.0,T
2009-02-13 09:31:07.359,C,3.51,85.0,3.52,64.0,T
2009-02-13 09:31:07.359,C,3.51,94.0,3.52,64.0,T
2009-02-13 09:31:07.359,C,3.51,72.0,3.52,64.0,T
2009-02-13 09:31:07.359,C,3.51,74.0,3.52,64.0,T
2009-02-13 09:31:07.359,C,3.51,75.0,3.52,64.0,T
2009-02-13 09:31:07.359,C,3.51,63.0,3.52,64.0,T
2009-02-13 09:31:07.359,C,3.51,64.0,3.52,64.0,T
2009-02-13 09:31:07.359,C,3.51,175.0,3.52,5.0,I
2009-02-13 09:31:07.359,C,3.51,70.0,3.52,64.0,T
2009-02-13 09:31:07.360,C,3.51,168.0,3.52,5.0,I
2009-02-13 09:31:07.361,C,3.51,151.0,3.52,5.0,I
2009-02-13 09:31:07.363,C,3.51,212.0,3.52,69.0,Z
2009-02-13 09:31:07.367,C,3.51,112.0,3.52,73.0,P
2009-02-13 09:31:07.368,C,3.51,57.0,3.52,74.0,T
2009-02-13 09:31:07.368,C,3.51,63.0,3.52,74.0,T
2009-02-13 09:31:07.377,C,3.51,107.0,3.52,77.0,P
2009-02-13 09:31:07.416,C,3.51,57.0,3.52,74.0,T
2009-02-13 09:31:07.878,C,3.51,45.0,3.52,74.0,T
2009-02-13 09:31:07.878,C,3.51,49.0,3.52,74.0,T
2009-02-13 09:31:07.879,C,3.51,51.0,3.52,74.0,T
2009-02-13 09:31:07.889,C,3.51,51.0,3.52,73.0,T
2009-02-13 09:31:07.889,C,3.51,51.0,3.52,71.0,T
2009-02-13 09:31:07.889,C,3.51,51.0,3.52,62.0,T
2009-02-13 09:31:07.890,C,3.51,213.0,3.52,69.0,Z
2009-02-13 09:31:07.890,C,3.51,71.0,3.52,62.0,T
2009-02-13 09:31:07.890,C,3.51,57.0,3.52,62.0,T
2009-02-13 09:31:07.890,C,3.51,61.0,3.52,62.0,T
2009-02-13 09:31:07.891,C,3.51,214.0,3.52,69.0,Z
2009-02-13 09:31:07.898,C,3.51,158.0,3.52,5.0,I
2009-02-13 09:31:07.899,C,3.51,75.0,3.52,62.0,T
2009-02-13 09:31:07.899,C,3.51,77.0,3.52,62.0,T
2009-02-13 09:31:07.900,C,3.51,160.0,3.52,5.0,I
2009-02-13 09:31:07.907,C,3.51,117.0,3.52,73.0,P
2009-02-13 09:31:07.928,C,3.51,75.0,3.52,62.0,T
2009-02-13 09:31:07.931,C,3.51,153.0,3.52,5.0,I
2009-02-13 09:31:07.946,C,3.51,151.0,3.52,5.0,I
2009-02-13 09:31:08.378,C,3.51,214.0,3.52,71.0,Z
2009-02-13 09:31:08.380,C,3.51,92.0,3.52,64.0,T
2009-02-13 09:31:08.387,C,3.51,117.0,3.52,75.0,P
2009-02-13 09:31:08.391,C,3.51,160.0,3.52,5.0,I
2009-02-13 09:31:08.391,C,3.51,158.0,3.52,5.0,I
2009-02-13 09:31:08.417,C,3.51,214.0,3.52,72.0,Z
2009-02-13 09:31:08.418,C,3.51,92.0,3.52,65.0,T
2009-02-13 09:31:08.419,C,3.51,214.0,3.52,71.0,Z
2009-02-13 09:31:08.420,C,3.51,92.0,3.52,64.0,T
2009-02-13 09:31:08.423,C,3.51,440.0,3.52,15.0,N
2009-02-13 09:31:08.427,C,3.51,117.0,3.52,75.0,P
2009-02-13 09:31:08.434,C,3.51,158.0,3.52,5.0,I
2009-02-13 09:31:08.449,C,3.51,214.0,3.52,72.0,Z
2009-02-13 09:31:08.450,C,3.51,214.0,3.52,69.0,Z
2009-02-13 09:31:08.450,C,3.51,214.0,3.52,71.0,Z
2009-02-13 09:31:08.454,C,3.51,92.0,3.52,62.0,T
2009-02-13 09:31:08.454,C,3.51,92.0,3.52,65.0,T
2009-02-13 09:31:08.457,C,3.51,117.0,3.52,73.0,P
2009-02-13 09:31:08.468,C,3.51,91.0,3.52,62.0,T
2009-02-13 09:31:08.509,C,3.51,165.0,3.52,5.0,I
2009-02-13 09:31:08.520,C,3.51,212.0,3.52,69.0,Z
2009-02-13 09:31:08.520,C,3.51,88.0,3.52,62.0,T
2009-02-13 09:31:08.520,C,3.51,209.0,3.52,69.0,Z
2009-02-13 09:31:08.520,C,3.51,90.0,3.52,62.0,T
2009-02-13 09:31:08.524,C,3.51,161.0,3.52,5.0,I
2009-02-13 09:31:08.529,C,3.51,86.0,3.52,62.0,T
2009-02-13 09:31:08.537,C,3.51,112.0,3.52,73.0,P
2009-02-13 09:31:08.600,C,3.51,406.0,3.52,15.0,N
2009-02-13 09:31:08.615,C,3.51,207.0,3.52,69.0,Z
